0.44219,20
0.45196,10
0.50967,30
0.61018,40
0.65629,50
0.70217,60
0.71516,70
0.72465,80
0.72745,90
0.73428,100
0.74022,110
0.74092,120
0.74412,130
0.74440,140
0.74575,150
0.74874,160
0.74921,170
0.75063,180
0.75089,560
0.75109,400
0.75136,460
0.75184,520
0.75193,570
0.75200,470
0.75206,550
0.75216,190
0.75216,250
0.75228,600
0.75241,490
0.75244,200
0.75246,440
0.75261,540
0.75262,500
0.75269,310
0.75274,360
0.75275,320
0.75278,580
0.75302,590
0.75303,350
0.75304,530
0.75308,210
0.75311,450
0.75314,300
0.75334,390
0.75336,420
0.75353,280
0.75355,220
0.75361,510
0.75372,240
0.75372,410
0.75402,330
0.75410,480
0.75413,270
0.75413,380
0.75421,260
0.75442,370
0.75490,430
0.75531,290
0.75534,230
0.75535,340
