0.39528,10
0.44059,20
0.54038,30
0.57585,40
0.61350,50
0.63604,60
0.66444,70
0.68859,80
0.69630,90
0.70623,100
0.72311,120
0.72367,110
0.72630,130
0.73164,140
0.73439,150
0.73636,160
0.73770,170
0.74326,200
0.74385,180
0.74396,190
0.74438,230
0.74578,220
0.74584,240
0.74663,250
0.74672,300
0.74773,270
0.74787,210
0.74844,460
0.74889,330
0.74894,400
0.74905,260
0.74917,290
0.74917,450
0.74934,370
0.74940,350
0.74944,340
0.74953,470
0.74966,540
0.74996,480
0.75002,360
0.75006,490
0.75021,320
0.75026,440
0.75054,520
0.75073,420
0.75085,500
0.75112,310
0.75137,510
0.75139,530
0.75145,390
0.75157,280
0.75169,430
0.75232,380
0.75265,410
