0.47180,10
0.47578,20
0.57882,30
0.68696,40
0.71455,50
0.73068,60
0.74184,70
0.74517,80
0.74833,90
0.75380,100
0.75451,110
0.75744,140
0.75771,130
0.75809,280
0.75865,450
0.75875,330
0.75878,160
0.75906,270
0.75915,410
0.75925,220
0.75926,120
0.75927,150
0.75943,470
0.75977,290
0.75981,430
0.75983,550
0.75997,340
0.76001,390
0.76002,400
0.76018,510
0.76031,260
0.76036,490
0.76045,210
0.76052,460
0.76058,200
0.76063,520
0.76065,170
0.76078,350
0.76085,230
0.76088,440
0.76109,420
0.76110,500
0.76131,530
0.76139,380
0.76148,540
0.76163,300
0.76175,250
0.76183,190
0.76208,320
0.76236,310
0.76246,480
0.76270,370
0.76311,360
0.76421,180
0.76473,240
